id	family	group	lang	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	example_as_in_source	example	translation_as_in_source	translation	gloss	example_comment	example_source	example_page	contributor	date
108	East Caucasian	Dargwa	Dargwa	Muiri	dialect_nt1	no	yes	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	хIяжибудай	ħjažibudaj	кукуруза	maize			Dargwa dictionary project	https://lingconlab.ru/dargwa_dict/	Samira Verhees	March 2025
35	East Caucasian	Dargwa	Dargwa	Standard Dargwa	lang	yes	yes	Maize	hajj-wheat	Type of name	calque	Name origin	ХIЯЖЛАНКIИ	ħjažlankʼi	кукуруза	maize			yusupov2014	1043	Samira Verhees	March 2025
23	East Caucasian	Andic	Akhvakh	Tad-Magitl'	village	no	no	Maize	other wheat	Type of name	unclear	Name origin	ЧIАКЪИРУ	čʼaqʼiru	кукуруза	maize			magomedovaabdulaeva2007	441	Samira Verhees	March 2025
41	East Caucasian	Dargwa	Dargwa	Tanty	village	no	yes	Maize	hajj-wheat	Type of name	calque	Name origin	хIяжламукки	ħjažlamukːi	кукуруза	maize			Dargwa dictionary project	https://lingconlab.ru/dargwa_dict/	Samira Verhees	March 2025
65	East Caucasian	Andic	Akhvakh	Ratlub	village	no	no	Maize	other	Type of name	unclear	Name origin	кьемо	ƛ’emo	воздушная кукуруза	roasted maize kernels			magomedovaabdulaeva2007	245	Samira Verhees	March 2025
66	East Caucasian	Andic	Akhvakh	Tlyanub	village	no	no	Maize	other	Type of name	unclear	Name origin	кьемо	ƛ’emo	воздушная кукуруза	roasted maize kernels			magomedovaabdulaeva2007	245	Samira Verhees	March 2025
64	East Caucasian	Andic	Akhvakh	Tad-Magitl'	village	no	no	Maize	other	Type of name	unclear	Name origin	КЬИМА	ƛ’ima	воздушная кукуруза	roasted maize kernels			magomedovaabdulaeva2007	245	Samira Verhees	March 2025
1	Kartvelian	Georgic	Georgian	Alibeglo	village	no	yes	Maize	other	Type of name	simindi - Georgian	Name origin	smind	smind	кукуруза	maize			DagLoans database	Alibeglo1	Samira Verhees	March 2025
42	Kartvelian	Georgic	Georgian	Meshabash	village	no	yes	Maize	other	Type of name	simindi - Georgian	Name origin	simindi	simindi	кукуруза	maize			DagLoans database	Meshabash1, Meshabash2	Samira Verhees	March 2025
119	East Caucasian	Andic	Karata	Karata	village	no	no	Maize	other	Type of name	unclear	Name origin	кьему	ƛ’emu	воздушная кукуруза	roasted maize kernels			magomedovaxalidova2001	347	Samira Verhees	March 2025
47	East Caucasian	Andic	Karata	Karata	village	no	no	Maize	other wheat	Type of name	unclear	Name origin	щамакъуру	šːamaqʼuru	кукуруза	maize			magomedovaxalidova2001	332, 368	Samira Verhees	March 2025
120	East Caucasian	Andic	Karata	Karata	village	no	no	Maize	other	Type of name	unclear	Name origin	у(н)салъи	u(n)saɬi	воздушная кукуруза	roasted maize kernels			magomedovaxalidova2001	347	Samira Verhees	March 2025
